acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,class
1.012817,-0.1232167,0.1029341,0.03019122,0.06601362,0.02285864,std
1.022833,-0.1268756,0.1056872,0.04371071,0.04269897,0.01031572,std
1.022028,-0.1240037,0.1021025,0.0356878,0.07485018,0.01324969,std
1.017877,-0.1249279,0.1065527,0.0404021,0.05731974,0.01775121,std
1.02368,-0.1257667,0.1028135,0.04709654,0.05234284,0.002553367,std
1.016974,-0.124462,0.1074931,0.05018473,0.06917394,0.007724708,std
1.017746,-0.1273606,0.1093857,0.05054452,0.0498667,0.004324535,std
1.019263,-0.1278912,0.1038862,0.04499207,0.05675081,0.01061698,std
1.016417,-0.1258682,0.1024732,0.04768623,0.05818872,0.01718869,std
1.020745,-0.1243682,0.0975659,0.04681215,0.04319882,0.0105107,std
0.7911462,-0.1910113,-0.03906836,0.2202674,0.159655,0.01094215,dws
0.7993577,-0.2596735,-0.0778899,0.3322385,0.2812229,0.02547416,dws
0.8239362,-0.270252,-0.05594156,0.4420194,0.3379647,0.01092202,dws
0.862911,-0.2317228,-0.05718444,0.4824141,0.2390217,0.01776408,dws
0.8725306,-0.2030428,-0.08138554,0.4702164,0.1221459,0.03048773,dws
0.8874329,-0.1703707,-0.0823062,0.4822798,0.1243606,0.04660599,dws
0.8848654,-0.1376092,-0.09069376,0.4672954,0.3001843,0.08481956,dws
0.9135456,-0.1200652,-0.08948771,0.3892546,0.5102895,0.08050494,dws
0.9330374,-0.112302,-0.08763777,0.2924207,0.3840336,0.06806294,dws
0.8860893,-0.1198981,-0.07403906,0.1817345,0.1512649,0.06617322,dws
0.168456,0.8016329,0.5619349,0.1286313,0.03735951,0.3477025,ly
0.173265,0.8172397,0.5754392,0.1449417,0.04880106,0.3276942,ly
0.1541678,0.8312668,0.5873032,0.1399235,0.03378963,0.3232315,ly
0.1359993,0.8177762,0.5792959,0.1320569,-0.003203553,0.3297449,ly
0.1237424,0.7892685,0.5694114,0.1603352,-0.03035548,0.3554029,ly
0.121506,0.7947802,0.5732303,0.1845471,-0.06946266,0.3954955,ly
0.1225893,0.7889307,0.5664585,0.1866745,-0.1562329,0.4137371,ly
0.1277137,0.7752571,0.545954,0.182145,-0.2617657,0.4106411,ly
0.1623411,0.811864,0.5334205,0.1588105,-0.2595405,0.388639,ly
0.201486,0.8685767,0.5328179,0.116828,-0.142498,0.3517605,ly
1.387865,-0.3367674,-0.05730443,-0.5624105,0.975277,0.2787811,wlk
1.39283,-0.3519202,-0.142905,-0.5068743,1.613873,0.1157149,wlk
1.129705,-0.2115317,-0.09773711,-0.7771669,0.8407163,-0.1098379,wlk
0.7203537,-0.1081185,-0.1060344,-1.317128,-0.317289,0.09024409,wlk
0.694602,-0.08070822,-0.1270576,-1.485695,-0.7400386,0.243199,wlk
0.926829,-0.2115227,-0.1266205,-1.357972,-0.7803442,0.06460827,wlk
1.033021,-0.4126079,-0.1417775,-1.143074,-0.6342709,-0.01531074,wlk
1.019115,-0.4212371,-0.1152027,-0.789846,-0.5762585,-0.03838725,wlk
0.9588146,-0.3831473,-0.09541352,-0.5341262,-0.6355299,-0.03549102,wlk
0.9395811,-0.3639025,-0.1023166,-0.4246221,-0.5055613,0.09557449,wlk
0.9068317,0.1398434,0.3950031,0.05853499,0.03468009,-0.1154221,sit
0.9093641,0.1457557,0.3911455,0.06523332,0.0124743,-0.1179507,sit
0.9083683,0.1568323,0.3932516,0.07282671,-0.03566388,-0.1149668,sit
0.9111495,0.1726378,0.3968214,0.0639263,-0.05789922,-0.1091884,sit
0.9243649,0.1871752,0.4049236,0.04097385,-0.05619055,-0.08274761,sit
0.9251153,0.1813439,0.4067535,0.02514339,-0.05508235,-0.0360355,sit
0.9199071,0.1746552,0.4025024,0.01639628,-0.04673737,-0.01370252,sit
0.9117922,0.1703493,0.3983726,0.01771625,-0.07116467,-0.01065256,sit
0.9024631,0.1590283,0.388523,0.0412758,-0.1082469,-0.005398075,sit
0.916602,0.1591201,0.3843367,0.06518757,-0.1048854,-0.00676885,sit
0.9253372,-0.282266,-0.001155615,0.379767,0.6916201,0.03231439,ups
0.9001319,-0.2350933,0.00285343,0.3878029,0.7338988,-0.02200011,ups
0.8641551,-0.179317,0.01702875,0.3784668,0.7673131,-0.06834814,ups
0.8566712,-0.1660143,0.03975169,0.3274898,0.6688538,-0.0575678,ups
0.8489467,-0.1526142,0.01494466,0.1548952,0.5998025,-0.04739278,ups
0.8437291,-0.160133,0.000240076,-0.009150116,0.6665853,-0.01388663,ups
0.8130555,-0.1822934,0.00513344,-0.09724919,0.839283,-0.01514951,ups
0.7194217,-0.196258,0.02887908,-0.09695029,0.9470574,-0.03476586,ups
0.6405217,-0.2224051,0.1027017,0.03812973,0.6994879,-0.01898123,ups
0.6523644,-0.2490703,0.1557724,0.2254234,0.2243249,-0.03028008,ups
